,ID,niveau_scolaire,type_texte,session,redacteur,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,cluster
1,P01C6E2,C6,expositif,0.0,1.0,150.572,0.734,5.21,5.944,0.123485868,0.876514132,2.0,s ,13.0,14.0,14.0,RB,2
2,P01C6E2,C6,expositif,0.0,1.0,158.419,2.2,7.113,9.313,0.236228927,0.763771073,12.0,que la vipol,14.0,26.0,26.0,P,1
6,P01C6E2,C6,expositif,0.0,1.0,180.743,1.856,2.137,3.993,0.464813423,0.535186577,10.0,ça aakzkzk,61.0,71.0,71.0,P,3
10,P01C6E2,C6,expositif,0.0,1.0,203.644,0.686,7.816,8.502,0.080686897,0.919313103,3.0, ma,35.0,38.0,87.0,R,1
18,P01C6E2,C6,expositif,0.0,1.0,244.407,3.448,7.816,11.264,0.306107955,0.693892045,15.0,ne sert a rien ,94.0,109.0,109.0,P,4
19,P01C6E2,C6,expositif,0.0,1.0,249.867,3.713,2.012,5.725,0.648558952,0.351441048,16.0,et puis en plus ,109.0,125.0,125.0,P,0
20,P01C6E2,C6,expositif,0.0,1.0,255.764,0.281,2.184,2.465,0.113995943,0.886004057,2.0,çà,125.0,72.0,127.0,P,3
21,P01C6E2,C6,expositif,0.0,1.0,260.881,0.67,4.836,5.506,0.121685434,0.878314566,1.0,à,72.0,127.0,127.0,R,2
22,P01C6E2,C6,expositif,0.0,1.0,265.342,2.917,3.791,6.708,0.434853906,0.565146094,5.0, fait,127.0,132.0,132.0,P,0
23,P01C6E2,C6,expositif,0.0,1.0,272.471,0.047,4.212,4.259,0.011035454,0.988964546,1.0,:,132.0,133.0,133.0,P,2
24,P01C6E2,C6,expositif,0.0,1.0,276.044,3.619,3.526,7.145,0.506508048,0.493491952,8.0, des ble,133.0,141.0,141.0,P,0
