,ID,niveau_scolaire,type_texte,session,redacteur,debut_burst,duree_burst,duree_pause,duree_cycle,pct_burst,pct_pause,longueur_burst,burst,startPos,endPos,docLength,categ,cluster
1,P01C6E2,C6,expositif,0.0,1.0,150.572,0.734,5.21,5.944,0.123485868,0.876514132,2.0,s ,13.0,14.0,14.0,RB,0
2,P01C6E2,C6,expositif,0.0,1.0,158.419,2.2,7.113,9.313,0.236228927,0.763771073,12.0,que la vipol,14.0,26.0,26.0,P,0
6,P01C6E2,C6,expositif,0.0,1.0,180.743,1.856,2.137,3.993,0.464813423,0.535186577,10.0,ça aakzkzk,61.0,71.0,71.0,P,0
10,P01C6E2,C6,expositif,0.0,1.0,203.644,0.686,7.816,8.502,0.080686897,0.919313103,3.0, ma,35.0,38.0,87.0,R,0
18,P01C6E2,C6,expositif,0.0,1.0,244.407,3.448,7.816,11.264,0.306107955,0.693892045,15.0,ne sert a rien ,94.0,109.0,109.0,P,0
19,P01C6E2,C6,expositif,0.0,1.0,249.867,3.713,2.012,5.725,0.648558952,0.351441048,16.0,et puis en plus ,109.0,125.0,125.0,P,0
20,P01C6E2,C6,expositif,0.0,1.0,255.764,0.281,2.184,2.465,0.113995943,0.886004057,2.0,çà,125.0,72.0,127.0,P,0
21,P01C6E2,C6,expositif,0.0,1.0,260.881,0.67,4.836,5.506,0.121685434,0.878314566,1.0,à,72.0,127.0,127.0,R,0
22,P01C6E2,C6,expositif,0.0,1.0,265.342,2.917,3.791,6.708,0.434853906,0.565146094,5.0, fait,127.0,132.0,132.0,P,0
23,P01C6E2,C6,expositif,0.0,1.0,272.471,0.047,4.212,4.259,0.011035454,0.988964546,1.0,:,132.0,133.0,133.0,P,0
24,P01C6E2,C6,expositif,0.0,1.0,276.044,3.619,3.526,7.145,0.506508048,0.493491952,8.0, des ble,133.0,141.0,141.0,P,0
31,P01C6E2,C6,expositif,0.0,1.0,313.469,9.391,14.134,23.525,0.399192349,0.600807651,35.0,peut être des ports si la bagarres ,146.0,181.0,181.0,P,4
37,P01C6E2,C6,expositif,0.0,1.0,360.144,4.93,7.66,12.59,0.39158062,0.60841938,14.0, ou des encore,240.0,254.0,254.0,P,0
39,P01C6E2,C6,expositif,0.0,1.0,371.22,1.03,3.635,4.665,0.22079314,0.77920686,6.0,enrage,260.0,266.0,266.0,P,0
41,P01C6E2,C6,expositif,0.0,1.0,377.913,0.062,4.197,4.259,0.014557408,0.985442592,1.0,é,265.0,266.0,266.0,P,0
42,P01C6E2,C6,expositif,0.0,1.0,380.081,0.062,2.106,2.168,0.028597786,0.971402214,1.0,s,266.0,267.0,267.0,P,0
43,P01C6E2,C6,expositif,0.0,1.0,383.061,5.085,2.918,8.003,0.63538673,0.36461327,16.0, de savoir fait ,267.0,283.0,283.0,P,0
44,P01C6E2,C6,expositif,0.0,1.0,391.313,2.995,3.167,6.162,0.486043492,0.513956508,13.0,taper dessus ,283.0,296.0,296.0,P,0
47,P01C6E2,C6,expositif,0.0,1.0,408.036,0.406,5.569,5.975,0.067949791,0.932050209,3.0,et ,315.0,318.0,318.0,P,0
48,P01C6E2,C6,expositif,0.0,1.0,413.543,1.498,5.101,6.599,0.227004092,0.772995908,6.0,ainsi ,318.0,324.0,324.0,P,0
52,P01C6E2,C6,expositif,0.0,1.0,431.437,0.031,3.979,4.01,0.007730673,0.992269327,1.0,.,333.0,334.0,334.0,P,0
55,P01C6E2,C6,expositif,0.0,1.0,474.243,0.343,39.14,39.483,0.008687283,0.991312717,1.0,m,161.0,199.0,333.0,R,4
56,P01C6E2,C6,expositif,0.0,1.0,481.747,2.979,7.161,10.14,0.293786982,0.706213018,11.0, mais c'est,199.0,210.0,344.0,R,0
59,P01C6E2,C6,expositif,0.0,1.0,493.962,2.34,2.325,4.665,0.501607717,0.498392283,10.0,encore heu,228.0,238.0,372.0,R,0
62,P01C6E2,C6,expositif,0.0,1.0,524.101,1.747,19.438,21.185,0.082464008,0.917535992,9.0, aussi tr,357.0,366.0,385.0,R,4
65,P01C6E2,C6,expositif,0.0,1.0,576.127,7.551,43.087,50.638,0.149117264,0.850882736,28.0, et puis je vais essayer de ,398.0,426.0,426.0,P,3
73,P01C6E2,C6,expositif,0.0,1.0,625.673,3.526,9.984,13.51,0.260991858,0.739008142,12.0,se bagarrer ,460.0,472.0,472.0,P,0
79,P01C6E2,C6,expositif,0.0,1.0,655.891,2.293,4.727,7.02,0.326638177,0.673361823,11.0,quand on a ,474.0,485.0,485.0,P,0
80,P01C6E2,C6,expositif,0.0,1.0,667.825,3.307,9.641,12.948,0.25540624,0.74459376,10.0,la simplic,485.0,495.0,495.0,P,0
88,P01C6E2,C6,expositif,0.0,1.0,724.64,0.063,2.823,2.886,0.021829522,0.978170478,1.0,P,554.0,555.0,555.0,P,0
90,P01C6E2,C6,expositif,0.0,1.0,732.628,0.062,3.807,3.869,0.016024813,0.983975187,1.0,a,555.0,569.0,569.0,R,0
91,P01C6E2,C6,expositif,0.0,1.0,735.67,0.795,2.98,3.775,0.210596026,0.789403974,4.0,pas ,569.0,573.0,573.0,P,0
96,P01C6E2,C6,expositif,0.0,1.0,772.189,1.358,18.064,19.422,0.069920708,0.930079292,5.0,Alord,573.0,578.0,578.0,P,4
100,P01C6E2,C6,expositif,0.0,1.0,799.708,0.312,2.371,2.683,0.116287738,0.883712262,2.0,. ,554.0,556.0,556.0,P,0
107,P01C6E2,C6,expositif,0.0,1.0,823.171,1.544,2.231,3.775,0.409006623,0.590993377,8.0,tape pas,564.0,572.0,572.0,P,0
109,P01C6E2,C6,expositif,0.0,1.0,828.521,12.231,2.184,14.415,0.848491155,0.151508845,35.0,.Alors dites comme moi la violence ,572.0,607.0,607.0,R,0
115,P01C6N1,C6,narratif,0.0,1.0,121.883,0.827,3.322,4.149,0.199325139,0.800674861,4.0,entr,14.0,18.0,18.0,P,0
116,P01C6N1,C6,narratif,0.0,1.0,125.019,0.063,2.309,2.372,0.026559865,0.973440135,1.0,é,18.0,19.0,19.0,P,0
118,P01C6N1,C6,narratif,0.0,1.0,134.941,2.745,2.247,4.992,0.549879808,0.450120192,12.0,une semaine ,32.0,44.0,44.0,P,0
123,P01C6N1,C6,narratif,0.0,1.0,169.667,2.948,6.693,9.641,0.305777409,0.694222591,11.0,de violente,96.0,107.0,107.0,P,0
124,P01C6N1,C6,narratif,0.0,1.0,174.877,0.234,2.262,2.496,0.09375,0.90625,2.0,s ,107.0,109.0,109.0,P,0
131,P01C6N1,C6,narratif,0.0,1.0,241.193,2.824,29.001,31.825,0.088735271,0.911264729,4.0,ces ,109.0,110.0,130.0,R,4
139,P01C6N1,C6,narratif,0.0,1.0,302.314,8.346,28.08,36.426,0.229122056,0.770877944,29.0,Les personnes qui se battait ,164.0,193.0,193.0,P,4
